Date,Price
1990/01,26.173
1990/02,19.159
1990/03,27.451
1990/04,26.171
1990/05,28.544
1990/06,17.922
1990/07,26.481
1990/08,23.562
1990/09,31.341
1990/10,43.549
1990/11,25.242
1990/12,50.914
1991/01,69.158
1991/02,61.637
1991/03,13.725
1991/04,34.632
1991/05,24.989
1991/06,23.759
1991/07,17.966
1991/08,37.883
1991/09,34.601
1991/10,33.082
1991/11,35.627
1991/12,42.152
1992/01,50.253
1992/02,31.072
1992/03,37.189
1992/04,19.353
1992/05,21.794
1992/06,20.417
1992/07,21.008
1992/08,24.640
1992/09,18.008
1992/10,16.589
1992/11,13.101
1992/12,18.123
1993/01,13.190
1993/02,11.418
1993/03,14.598
1993/04,14.366
1993/05,14.519
1993/06,14.270
1993/07,23.104
1993/08,25.529
1993/09,30.680
1993/10,47.624
1993/11,20.121
1993/12,26.978
1994/01,33.903
1994/02,16.803
1994/03,19.280
1994/04,90.66
1994/05,12.729
1994/06,23.110
1994/07,33.888
1994/08,68.407
1994/09,70.732
1994/10,56.674
1994/11,68.528
1994/12,61.586
1995/01,68.153
1995/02,38.072
1995/03,29.770
1995/04,49.208
1995/05,38.223
1995/06,48.021
1995/07,50.000
1995/08,50.545
1995/09,33.988
1995/10,39.025
1995/11,24.674
1995/12,19.319
1996/01,16.607
1996/02,16.543
1996/03,17.499
1996/04,17.763
1996/05,16.141
1996/06,22.076
1996/07,26.656
1996/08,32.669
1996/09,43.514
1996/10,31.283
1996/11,41.167
1996/12,39.689
1997/01,29.244
1997/02,27.505
1997/03,31.872
1997/04,42.966
1997/05,52.229
1997/06,43.521
1997/07,57.842
1997/08,48.106
1997/09,51.904
1997/10,43.349
1997/11,38.461
1997/12,28.720
1998/01,23.524
1998/02,32.324
1998/03,27.978
1998/04,15.869
1998/05,21.840
1998/06,19.290
1998/07,29.811
1998/08,44.923
1998/09,47.693
1998/10,57.644
1998/11,43.367
1998/12,48.535
1999/01,37.467
1999/02,38.255
1999/03,64.982
1999/04,51.780
1999/05,35.555
1999/06,35.293
1999/07,32.629
1999/08,45.896
1999/09,39.301
1999/10,42.367
1999/11,42.357
1999/12,46.332
2000/01,40.574
2000/02,29.819
2000/03,36.887
2000/04,22.662
2000/05,23.678
2000/06,23.162
2000/07,20.510
2000/08,13.877
2000/09,22.613
2000/10,16.403
2000/11,25.490
2000/12,17.083
2001/01,14.511
2001/02,98.55
2001/03,12.231
2001/04,11.365
2001/05,11.321
2001/06,14.089
2001/07,17.859
2001/08,16.096
2001/09,23.457
2001/10,21.102
2001/11,21.580
2001/12,20.681
2002/01,15.483
2002/02,11.777
2002/03,10.950
2002/04,12.241
2002/05,14.971
2002/06,12.747
2002/07,18.087
2002/08,20.113
2002/09,22.566
2002/10,28.315
2002/11,30.469
2002/12,31.832
2003/01,30.058
2003/02,26.224
2003/03,32.942
2003/04,22.980
2003/05,19.117
2003/06,20.016
2003/07,23.046
2003/08,21.352
2003/09,25.218
2003/10,27.367
2003/11,26.158
2003/12,33.530
2004/01,29.844
2004/02,17.191
2004/03,22.575
2004/04,20.809
2004/05,25.719
2004/06,21.618
2004/07,20.269
2004/08,28.862
2004/09,40.355
2004/10,38.816
2004/11,43.477
2004/12,47.772
2005/01,43.651
2005/02,33.478
2005/03,47.311
2005/04,40.207
2005/05,42.578
2005/06,42.470
2005/07,38.213
2005/08,37.499
2005/09,37.838
2005/10,55.674
2005/11,55.837
2005/12,52.092
2006/01,44.828
2006/02,44.642
2006/03,46.153
2006/04,37.512
2006/05,45.037
2006/06,35.895
2006/07,32.627
2006/08,53.279
2006/09,59.599
2006/10,65.282
2006/11,72.653
2006/12,61.312
